Title,Published Date,Type,Link,Authors,Abstract
"Local Residents' Attitudes Toward and Contact with International Students: A Perspective from Montreal, Quebec",18 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1484985/full,"Oguzhan Tekin, Pavel Trofimovich",Abstract not available.
Current oral contraceptive use affects explicit and implicit measures of depression in women,18 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1462891/full,"Elizabeth Hampson, Sara N. Abrahamson, Taylor N. Breddy, Maisha Iqbal, Elena R. Wolff","Some data suggest that increased depressive symptoms may occur in women using combined oral contraceptives (OCs). However, this idea is controversial and the existing evidence is conflicting. The present study compared negative affect in 53 healthy women (Mage= 19.9 years) during intervals of active daily OC hormone intake and during the washout week of the contraceptive cycle when no exogenous estrogens or progestins are used. A prospective counterbalanced repeated-measures study design was employed. Depressive affect was evaluated using standard psychometric tests of explicit (self-perceived) and implicit negative affect. Implicit measures are considered less subject to bias related to social expectations, self-awareness, or willingness to disclose. Other than their usual OCs, participants were medication-free and had been using OCs for a median of 12 mo. We found that measures of implicit affect (e.g., Affect Misattribution Procedure, Emotional Stroop Test) displayed a more depressive-like pattern of performance during active hormone intake, particularly among a subgroup of OC users who reported experiencing high levels of depressive affect more generally. In contrast, participants’ self-perceptions suggested that they perceived their negative symptoms to be greater during the ‘off’ phase of the OC cycle, when OC steroids are withdrawn and menses occurs. The present findings reinforce the possibility of depressive mood effects associated with OC usage, and highlight the utility of including implicit measures, but also illustrate the complexity of mood assessment in OC users."
"The DLPFC is centrally involved in resolving Stroop conflicts, suppressing distracting sensory input within the auditory and visual system",18 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1427455/full,"Ann-Christine Ehlis, Lisa Zarantonello, Florian B. Haeussinger, Tim Rohe, David Rosenbaum, Andreas J. Fallgatter, Moritz J. Maier,","Introduction:Cognitive control is a prerequisite for successful, goal-oriented behavior. The dorsolateral prefrontal cortex (DLPFC) is assumed to be a key player in applying cognitive control; however, the neural mechanisms by which this process is accomplished are still unclear."
A feasibility and usability study of a virtual reality tool (VESPA 2.0) for cognitive rehabilitation in patients with mild cognitive impairment: an ecological approach,18 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1402894/full,"Desirèe Latella, Caterina Formica, Augusto Ielo, Pietro Grioli, Angela Marra, Daniela Costanzo, Maria Emanuele Merlo, Salvatore Marco Pappalardo, Francesco Corallo, Silvia Marino, Angelo Quartarone, Rocco Salvatore Calabrò, Giuseppa Maresca",Introduction:Mild cognitive impairment (MCI) or “mild neurocognitive disorder” represents an intermediate status between normality and dementia. It is characterized by cognitive decline that does not significantly interfere with normal daily living activities. Virtual reality (VR) is the new frontier of rehabilitation.
The association between dietary knowledge based on the Chinese Dietary Guidelines and adherence to healthy dietary habits: a large-scale cross-sectional study,18 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1453815/full,"Zhongyu Ren, Zixuan Hao, Jianhua Cao","Introduction:Previous systematic review has shown that individuals with more comprehensive dietary knowledge tend to engage in healthier eating patterns among American or European population. However, research on the association between dietary knowledge based on theChinese Dietary Guidelinesand healthy dietary behaviors, particularly among adolescents and college students in China, is lacking. This study aimed to examine the association between dietary knowledge based on theChinese Dietary Guidelinesand adherence to healthy dietary behaviors among adolescents and college students in China."
Developing a specific model to exploring the determinant of individuals’ attitude toward forest conservation,18 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1481087/full,"Rahim Maleknia, Reza Azizi, Aureliu Florin Hălălișan","Introduction:In the context of forest conservation, individuals’ attitude can significantly influence their intentions and subsequent behaviors towards conserving forests. However, there is a research gap when it comes to understanding the determinants of individuals’ attitude towards forests conservation. To address this gap, the present study aimed to investigate the influence of variables associated with values from value-belief-norm theory, awareness of consequences, and ascription of responsibility from norm activation model on individuals’ attitudes as main determinant of behavior intention."
Older people in the world of esport: a qualitative study,18 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1460966/full,"Catherine Esnard, Marion Haza, Rebeca Grangeiro","Introduction:The inclusion of older players in the gaming world is growing rapidly, leading to the emergence of specific categories for them at major esport events. The aim of this study is to analyze the psychological issues faced by older people when engaging with the competitive context of esport."
Beyond the walls of the classroom: the psychodynamics of professional commitment and job involvement among female primary school teachers,18 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1465880/full,Qiaolan Su,"This research used structural equation modeling (SEM) to explore the relationship between professional commitment, self-efficacy, psychological resilience, perceived organizational support and job involvement of female teachers in Chinese primary schools. The purpose of the study was to understand how these psychological and organizational factors work together on teachers’ job involvement. Based on the questionnaire survey of 596 female teachers in primary schools, the data were collected and analyzed by AMOS software. The results show that professional commitment plays a central role in teachers’ job involvement, and self-efficacy and psychological resilience, as important psychological resources, significantly affect job involvement through the mediation of perceived organizational support. The model fitting indicators CFI, RMSEA and SRMR were in line with the acceptance criteria, which verified the adaptability of the hypothesis model. The findings not only reinforce the application of resource conservation theory in the field of education, but also provide school administrators with strategies to improve teachers’ job involvement, especially by enhancing the importance of organizational support and resilience. In addition, the results have practical implications for the design of targeted teacher professional development programs."
Exploring the digital extremist ecosystem: A preliminary analysis of hateful posts on Mod DB,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1502098/full,"Linda Schlegel, Lars Wiegold, Constantin Winkler, Julian Junk",Abstract not available.
Research on the Influence of Perceived Quality on Users' Continuance Usage Intention of Online Live Streaming Class Platforms: The Mediating Role of Flow Experience and the Moderating Impact of Perceived Usefulness,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1455597/full,"Fan Wu, Guangying Xie",Abstract not available.
Factors Affecting the Well-being of Mid-achieving University Students: A Case Study from China,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1465209/full,"Dandan Zou, Zitong Lin, Chen Chen, Yu Huiying",Abstract not available.
"Association between stressful life events and depression, anxiety, and quality of life among urban adolescents and young adults in Latin America",17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1466378/full,"Francisco Diez-Canseco, Adriana Carbonel, Antonio Bernabe-Ortiz, Natividad Olivar, Carlos Gómez-Restrepo, Mauricio Toyama, José M. Uribe-Restrepo, Luis I. Brusco, Liliana Hidalgo-Padilla, Daniela Ramirez, Fernando L. Carbonetti, Karen Ariza-Salazar, Diliniya Stanislaus Sureshkumar, Catherine Fung, Stefan Priebe,",Abstract not available.
"Coming out of Isolation: Impacts of COVID-19 on Physical Activity, Diet, Mental Well-being, and Sleep Over Time",17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1462297/full,"Joel Billings, Allison Kwesell, Stephanie Cosby, Shuyang Lin",Abstract not available.
The mediating role of cognitive flexibility in home-school coeducation and psychological well-being among Chinese vocational college students,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1422845/full,"Liu Chao, Lin Shan, Xu Wenping, Dai Shuling",Abstract not available.
Professional agency in the classroom and burnout among early career teachers in China,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1412446/full,"Liyuan E, Auli Toom, Janne Pietarinen, Tiina Soini-Ikonen, Kaisa Haverinen, Kirsi Pyhältö",Abstract not available.
The impact of informal control on the innovation performance of female technology professionals from the perspective of role pressure,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1378056/full,"Xiangfei Zeng, Mengyan Cao, Jingjing Hu, Wenpei Zhang",Abstract not available.
Axial rotation affects the cognitive characteristics of spatial ability,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1396441/full,"Tian Feng, Jinzhao Liu, Fuchun Zhang, Manqi Liang, Yawei Li",Abstract not available.
Introducing Open Dialogue as part of the WHO QualityRights Project in South Korea: experiences and opinions from an introductory workshop and 1-year pilot practice,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1426122/full,"Sooni Cho, Yong Hyuk Cho, Jai Sung Noh, Seong Kwon Jeong, Shin Kwon Kim, Seongsu Kim","This study explores the subjective experiences of participants in a 5-day Open Dialogue (OD) workshop and a 1-year pilot practice, conducted as part of the WHO QualityRights Project in South Korea. Twenty-four participants, selected through purposive sampling, completed surveys immediately after the workshop and 1 year later. Data were analyzed through both statistical and thematic approaches. A statistically significant decrease in the availability of “Flexibility and Mobility” was observed across all participants (p= 0.044) and a significant reduction in the availability of “Tolerance of Uncertainty” (p= 0.04) was noted among participants who engaged in network meetings over the course of 1 year. Qualitative analysis revealed that participants initially felt ambivalent toward OD due to systemic, cultural, and professional challenges. However, through experiential learning, their ambivalence shifted to hope, fostering solidarity and a more positive outlook for future OD practice. Participants recognized that implementing OD supported human rights, while addressing personal, organizational, and policy challenges. The findings provide important insights for developing OD training and implementation guidelines in South Korea. Recommendations include focusing on experiential learning and selecting mixed-group trainees from catchment area institutions, emphasizing the support of client rights, and considering individual, organizational, and systemic levels for successful implementation. This study represents a new case of OD dissemination through a top-down national research and development project and its integration into the WHO QualityRights service package, suggesting complementary potential between OD and global human rights-based mental health initiatives."
Influence of competitive attitude and self-efficacy on task motivation in vocational high school students: the moderating role of competitive environment in the context of ‘Lying Flat’ culture,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1427041/full,"Cheng Ma, Bo-Ching Chen, ","Introduction:In recent years, “lying flat” has emerged as a significant term in contemporary discourse, referring to the phenomenon where modern young people choose passive resistance due to a lack of motivation when facing various situations. These trends have the potential to diminish the future learning enthusiasm and holistic development of vocational high school students, thus impacting their competitiveness in the future job market."
Chartered Accountants’ perception of the Fourth Industrial Revolution,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1419766/full,"Chené Brands, Claude-Hélène Mayer, Rudolf M. Oosthuizen","The Fourth Industrial Revolution (4IR) is an era of enormous technical progress that has impacted professionals across industries, including Chartered Accountants (CAs). This study explored how CAs view the impact of the 4IR on their profession, focusing on the shifting roles, competencies, and challenges they face during this transitional period. The research adopted a qualitative approach to data collecting, including 14 semi-structured interviews with participants from various CA backgrounds. This research provides a thorough knowledge of the 4IR’s consequences for the profession and the perceptions of CA’s of the 4IR. Rapid task automation via technologies such as AI is posing a challenge to traditional CA roles, forcing a change towards more analytical thinking and strategic insight. CAs need to develop critical thinking abilities and data analysis ability. Older generations might need support to adapt to the technological changes. Despite fears about job loss due to technology, members were largely optimistic about the 4IR’s professional development potential. Conclusions are drawn and recommendations are given."
Th.o.m.a.s.: new insights into theory of mind in adolescents with autism spectrum disorder,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1461980/full,"Roberta Fadda, Sara Congiu, Giuseppe Doneddu, Marinella Carta, Francesco Piras, Ilaria Gabbatore, Francesca M. Bosco","Previous studies indicated atypical Theory of Mind (ToM) abilities in individuals with autism spectrum disorder (ASD) at different ages. However, research focused on adolescents with ASD is still rare. This study aims to fill the gaps in the literature, by investigating ToM abilities in adolescents with ASD and in a group of typically developing ones. We applied the Theory of Mind Assessment Scale (Th.o.m.a.s.), a semi-structured interview that allows a multi-dimensional measurement of ToM, including different perspectives (first/s-order, first/third-person, egocentric/allocentric), various mental states (emotions, desires, beliefs) and metacognitive abilities related with mental states (awareness, relation, and strategies). The results indicated that ToM develops atypically in ASD, with strengths and weaknesses. First, participants with ASD were comparable to controls in some specific ToM aspects, i.e., third-person ToM, both from an egocentric and an allocentric perspective. However, they were significantly weaker in attributing an understanding of the mental states of others, both in first- and second-order ToM scenarios. Second, they showed the same level of awareness about mental states as controls, but they were significantly weaker in conceptualizing the relationship between mental states and behavior. Also, they found it very difficult to think about possible strategies that they or others might employ to realize desires and needs. Finally, they performed similarly to controls in understanding emotions, while they poorly understood desires and beliefs. These results point out the distinctive characteristics of ToM development in individuals with ASD, with important implications for individualized interventions."
"“Bend so you don’t break!” A longitudinal moderated mediation study on human resources management practices, humility, psychological well-being, and job performance",17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1452848/full,"Annick Parent-Lamarche, Julie Dextras-Gauthier","Introduction:This study aims to examine the mediating role of psychological well-being in the relationships between human resources management practices and job performance. Also, this study aims to assess the moderating role of humility on these relationships."
Learn to be happy—an experimental study in clinical context with depressive patients in Germany,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1426597/full,"Elena Renée Sequeira-Nazaré, Bernhard Schmitz","The increase in the number of people with mental disorders and the relapse rate of depressive patients give reason to constantly question and further develop psychotherapeutic interventions in order to stabilize therapy effects. Studies show that the art of living, described as the ability to lead a conscious and reflective life, can be learned and trained. The question arises as to what role the development of “art of living skills” have played in the treatment of depressed patients to date, and to what extent the targeted promotion of art of living within the framework of the therapy of depressed patients has an effect on the well-being and the level of depression that goes beyond this. The study is based on a mixed design. Study participants in the first experimental group (EG1,n= 53) each received one session of 50 min psychotherapy per week for 4 weeks. The second experimental group (EG2,n= 54) received psychotherapy equivalent to EG1 with additional life-skills reflection questions, which were to be answered every day and recorded in a diary. The control group (n= 53) received neither therapy nor reflection questions. The art of living, degree of depression, and satisfaction with life were assessed before and after the 4-week therapy and in the follow-up after 3 months, and the effects were compared. There was a significant decrease in the depression score over the 4 weeks in both therapy groups. EG2 showed a greater decrease in depression over the 4 weeks. However, the difference did not persist over the 3 months. Furthermore, in EG2 there was a significant increase in the Art of Living, Satisfaction with life, and Flourishing Scale over the 4 weeks, while in EG1 there was no change. However, the comparison in the follow-up after 3 months also shows that these effects could not stabilize. Overall, the results provide promising indications for integrating the art of living as a concept more strongly into the therapy of depressive patients. The question arises as to what long-term effects result from additional life skills stimulation and how the therapy effects gained can be stabilized over a longer period of time."
Refugees’ integration and emotional distress over the course of 9 months,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1459934/full,"Flurina Potter, Katalin Dohrmann, Brigitte Rockstroh, Anselm Crombach,","Background:High prevalence rates of mental disorders are reported in refugees due to experiencing substantial pre-, peri-, and post-migration stress. While long-term studies indicated that emotional distress of refugees either stagnates or ameliorates over time, long-term research on refugees’ integration and its’ interaction with emotional distress is limited. The examined long-term predictors for refugees’ emotional distress and integration in this study were, amongst others, severe physical abuse in childhood, residence status and length of stay."
Readiness for influenza and COVID-19 vaccination in Germany: a comparative analysis,17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1437942/full,"Anja A. Schulz, Yvonne Abt, Linus von Oppen, Markus A. Wirtz",Introduction:Vaccination readiness refers to psychological motives and beliefs that decisively determine individual and collective vaccination prevention behavior. Readiness to be vaccinated depends on expected individual and social benefits and harms. Differences exist in the perception of the threat of potential influenza vs. COVID-19 infection and its significance for the social environment. The study aimed to compare the 7C components of vaccination readiness for influenza and COVID-19 vaccination in adulthood.
"Loneliness, online learning and student outcomes in college students living with disabilities: results from the National College Health Assessment Spring 2022",17 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1408837/full,"William Bevens, Sarah E. Stoeckl, Stephen M. Schueller, Jeongmi Kim, Biblia S. Cha, Cindy Chwa, Nicole A. Stadnick, Nakia C. Best, Dara H. Sorkin","Background:People with disabilities face many health, economic and social disparities. Loneliness is recognized as a significant issue for this group however, its impact on students with disabilities (SWDs) remains a critically underexplored area of research. Importantly, as higher education continues its transition to the digital space, the potential to entrench social isolation and loneliness within this population has not been examined. This research seeks to explore the associations between SWDs, loneliness, online learning, and academic outcomes in a national survey of university students."
Mediating Effects of Artificial Intelligence on the Relationship Between Academic Engagement and Mental Health Among Chinese College Students,16 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1477470/full,"Yalin Wang, Hui Wang",Abstract not available.
Validation of the Brief Index of Sexual Functioning for Women and Men (BISF-W and BISF-M) in an Italian sample,16 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1474288/full,"Marta Panzeri, Lucia Ronconi, Lilybeth FONTANESI",Abstract not available.
Evolutionary development of mother–child scaffolding for moral comprehension,16 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1397547/full,Robert J. Beck,"This evolutionary developmental study employed an experimental recursive narrative ecological niche, comparing scaffolded mother–child (5-year-old) pairs to unassisted controls as they independently viewed and discussed a realistic fictional family video depicting a father–daughter emotional conflict over the girl’s risky behavior, which violated harm/care and fairness/justice moral foundation norms. A microgenetic analysis was conducted on a selected variant pair that demonstrated high adaptive fitness in the niche by employing developmentally advanced cooperative scaffolding tools. The conversational ecosystem phase was characterized by repeated maternal theory-oriented “why” questions and coordinated child causal responses, forming a joint epistemic investigation that facilitated the child’s moral understanding of the characters’ responsibilities and motives. The pair used quasi-justice procedures to gather evidence, judge, and construct moral attributes for the characters. Their conversational mechanism was supported by mutual mindreading, mental time travel, and empathic communications, as they interacted simultaneously with each other and the story characters. A narrative ecological scaffolding theory emerged, establishing a standard for cooperative epistemic scaffolding between the mother and the child. Future training programs should utilize the Zone of Proximal Development method to instruct similar parent–child pairs."
Democrats and Republicans choose solar panels in very similar ways,16 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1403647/full,"Nathanael Johnson, Torsten Reimer","Introduction:Appealing to individuals’ social identity is a powerful form of social influence, capable of changing the way people process information, the information they think about, and how they evaluate other individuals. The purpose of this study is to explore the idea that Democrat and Republican environmental norms may impact the attributes and strategies partisans use when choosing whether to have solar panels on a house."
Parents’ rearing styles and adolescents’ math achievement: the multiple mediating effect of self-control and math anxiety,16 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1413899/full,"Yanjiao Wang, Lei Han, Yang Tao, Yanyan Ma","Introduction:This cross-sectional study examined the mechanisms underlying adolescent math achievement by investigating the relationship between parents’ rearing styles (including different dimensions of rearing style) and adolescent self-control, math anxiety, and math achievement based on the ecological systems theory."
How life circumstances during public health crises affect people to share and correct misinformation: a perspective of the third-person effect,16 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1418504/full,Xiang Tian,"Introduction:Misinformation spreading on social media often parallels public crises, such as the outbreak of COVID-19, because people’s behaviors regarding misinformation may be influenced by their typical life circumstances. With the increasing severity of living conditions, misinformation is believed to spread more widely, while corrective behaviors tend to decrease. Furthermore, social comparison also affects the perception of life circumstances and subsequent behaviors. Taking Shanghai’s COVID-19 lockdown as an example, this study examined whether two representative factors—the duration of the lockdown and the satisfaction with relief measures—affected people’s tendency to share and correct misinformation. By employing the third-person effect (TPE) theory, the underlying mechanisms of social comparison were also explored."
Exploring the Influence of Artistic Urban Interventions on Attraction and Wellbeing: An Empirical Field Experiment,15 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1409086/full,"Margot Dehove, Jan Mikuni, Nikita Podolin, Martin Moser, Bernd Resch, Linda Doerrzapf, Pia M. Boehm, Katharina Prager, Helmut Leder, Elisabeth Oberzaucher,",Abstract not available.
"An Integrative Study on the Green Cultural Industry and its Determinants in Jiangsu Province, China under the Cultural Revitalization Initiative: A Global Perspective",15 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1328121/full,"Yaoyao Ding, Rong Zhang, Yuntao Zou",Abstract not available.
Effects of mindfulness intervention on competition state anxiety in sprinters-a randomized controlled trial,15 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1418094/full,"Ming Ge Yu, Guangbo Dou, Chen Gong",Abstract not available.
"Exploring the Relationship between Psychological Capital, Emotional Intelligence, Psychological Safety, and Knowledge Sharing among Ecommerce Practitioners",15 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1472527/full,"Xuan Zhang, Ziqing Xu",Abstract not available.
Applying a new theoretical and methodological approach for behavior-change campaign planning: identifying the critical determinants for reducing littering and evaluating the resulting large-scale campaign,15 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1441094/full,"Robert Tobias, Nicole Moraz, Barbara Degenhardt","Introduction:This paper presents a theoretical concept and methodological approach for identifying critical determinants for behavior change interventions. The approach is based on established theories and constructs but represents them in an intervention- instead of questionnaire-oriented form. Six discriminant and targetable dimensions of behavior determinants are proposed: Consideration, feasibility, instrumental evaluation, norms and goals, affective evaluation, and needs and tension states."
The impact of the COVID-19 pandemic on nostalgic social media use,15 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1431184/full,"Peng Xiang, Lijuan Chen, Fuming Xu, Shasha Du, Mingxuan Liu, Yimeng Zhang, Jiayu Tu, Xiaoyuan Yin","Introduction:Despite popular speculation that nostalgic social media use skyrocketed during the COVID-19 pandemic, this has yet to be formally investigated in the scientific literature."
A study of a PERMA-based positive psychological intervention programme in subthreshold depressed patients with newly diagnosed breast cancer: formulation and application,15 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1437025/full,"Deju Wang, Bin Li, Hongmei Xin, Xiaofei Wu, Jieqiong Xia, ","Background:Depression seriously affects the quality of life of breast cancer patients and even hinders treatment and recovery after diagnosis. Subthreshold depression should be worthy of attention, and the risk of subthreshold depression developing into depression increases if timely intervention is not available. However, there is limited research on interventions for subthreshold depression, especially for newly diagnosed breast cancer patients."
Activity-based mindfulness: large-scale assessment of an online program on perceived stress and mindfulness,15 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1469316/full,"Eliane Timm, Yobina Melanie Ko, Theodor Hundhammer, Ilana Berlowitz, Ursula Wolf, ","Background and objective:Mindfulness has emerged as key construct in mental health over past decades. While current mindfulness-based interventions (MBIs) are usually rooted in Asian contemplative traditions, mindfulness practices can equally be found in other knowledge systems, including integrative medicine systems such as anthroposophic medicine (AM). TheActivity-Based Stress Release(ABSR) program incorporates the latter as part of an 8-week-long online intervention combining mindfulness exercises, behavioral self-observation, and mindful movement practices derived from this integrative medicine frame. The program could offer additional means for cultivating mindfulness, thereby addressing the necessity for diverse approaches in conjunction with individual differences, diverse clinical demands, or restricted capacities to perform certain mindfulness practices. Using an observational repeated-measures design, the current study aimed to assess a large-scale online implementation of this program in terms of its feasibility, assessing perceived stress and mindfulness."
"Influence of slow and rapid weight loss periods on physiological performance, mood state and sleep quality in male freestyle wrestlers: a study from Sichuan Province, China",15 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1445810/full,"Liang Yu, Lan Lei, Liang Cheng, ","Objective:This study aims to investigate the changes in physiological performance, mental state and sleep quality during the weight reduction phase prior to competition in male freestyle wrestlers."
An international estimate of the prevalence of differing visual imagery abilities,15 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1454107/full,"David J. Wright, Matthew W. Scott, Sarah N. Kraeutner, Pamela Barhoun, Maurizio Bertollo, Mark J. Campbell, Baptiste M. Waltzing, Stephan F. Dahm, Maaike Esselaar, Cornelia Frank, Robert M. Hardwick, Ian Fuelscher, Ben Marshall, Nicola J. Hodges, Christian Hyde, Paul S. Holmes","The aim of this research was to establish prevalence estimates for aphantasia, hypophantasia, typical imagery ability, and hyperphantasia in a large multi-national cohort. In Study 1, the Vividness of Visual Imagery Questionnaire was completed by 3,049 participants. Results indicated prevalence estimates of 1.2% for aphantasia, 3% for hypophantasia, 89.9% for typical imagery ability, and 5.9% for hyperphantasia. In Study 2, to replicate these findings in a larger sample, the Study 1 data were combined with openly available data from previous prevalence studies to create a total sample of 9,063 participants. Re-analysis of this data confirmed prevalence estimates of 0.9% for aphantasia, 3.3% for hypophantasia, 89.7% for typical imagery ability, and 6.1% for hyperphantasia. These robust and up-to-date estimates provide enhanced clarity to researchers regarding the prevalence of differing visual imagery abilities and provide a platform for future studies exploring the role of visual imagery in various cognitive and behavioral tasks."
Sleep patterns and their associations with psychiatric symptoms among Chinese healthcare workers: a latent profile analysis,15 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1481580/full,"Yingjun Xiang, Shujuan Wei, Xiaoya Sun, Weiting Yang, Yaohui Han, Xuanzhen Wu","Background:Healthcare workers often encounter inadequate sleep conditions. However, limited research has examined the underlying sleep patterns among healthcare workers. This study aimed to identify sleep patterns in healthcare workers, explore predictors associated with various sleep patterns, and investigate the relationship between sleep patterns and psychiatric symptoms."
A multimodal physiological-psychological data-driven study on differentiation in miners’ job burnout and risk preferences,15 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1438772/full,"Fangyuan Tian, Weishuai Qiu, Hongxia Li, Ziyi Zhao,","Background:Existing research indicates that the personality traits of miners influence their emotional regulation strategies, and these strategies in turn affect their performance in work fatigue. However, whether there is an intermediary or moderating role among these factors remains unclear. Additionally, while some studies suggest an increased likelihood of unsafe behavior among miners following fatigue, physiological data concerning their cognition remains incomplete and requires further exploration. This study aims to explore the mediating and moderating effects of emotional regulation strategies among miners regarding their personality traits and work fatigue, and to expand understanding of the cognitive and physiological data related to miners’ risk decision-making following fatigue."
Gender differences in internet gaming among university students: a discriminant analysis,14 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1412739/full,"Júlia Gisbert-Pérez, Manuel Martí-Vilar, César Merino-Soto, Guillermo M. Chans, Laura Badenes-Ribera",Abstract not available.
"Enhancing Cross-Cultural Well-Being: A Mixed Methods Study on Critical Thinking, Cultural Intelligence, and Eudaimonic Well-Being in Arts Students' Cultural Identity Development",14 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1425929/full,Yue Peng,Abstract not available.
Better climate action through the right knowledge? Development and validation of a item-response-theory scale measuring climate effectiveness knowledge,14 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1347407/full,"Clara E. Simon, Martin J. Merten",Abstract not available.
Comparison of Different Reliability Estimation Methods for Single-item Assessment: A Simulation Study,14 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1482016/full,"Sijun Zhang, Kimberly Colvin",Abstract not available.
The Psychological Mechanism of Basic Psychological Need Frustration Affecting Job Burnout: A Qualitative Study from China,14 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1400441/full,Hairong Shi,Abstract not available.
Enhancing Nurse Faculty Resilience Through Self-Leadership: Guidelines for Resource Mobilization in Dynamic Academic Environments,14 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1280561/full,"Vhothusa Edward Matahela, Gisela H. Van Rensburg",Abstract not available.
"High-Performance Human Resource Practices, Organizational Identification and Employee Commitment: The Moderating Role of Organizational Culture",14 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1494186/full,"Yifan Yang, Ahmed M. Mostafa",Abstract not available.
